,trigram,frequency
763814,you want to be,187
74481,one of my favorite,161
74743,one thing left to,140
698134,you are going to,140
76869,over and over again,130
29866,for the sake of,128
47746,it came with matching,112
73188,on msn have mother,112
103793,term matching they re,112
344815,was one of those,108
23240,do you think you,92
129507,the shit out of,91
4150,an hour and half,87
55999,ll just have to,85
13489,beyond which he is,84
7950,application and this resentment,84
194922,to go to school,83
44242,in the form of,78
7048,and we went to,77
324952,want to be able,70
3593,am going to be,66
22938,do not want to,59
8881,as far as the,58
144979,there you have it,57
4726,and don want to,56
49497,it was really good,54
15056,but don want to,50
428616,what can you do,49
106905,that it for now,47
113405,the center of the,47
201332,to look at the,46
142250,there are lot of,45
131459,the sushi for you,45
255422,tuna maki like the,45
5328,and it makes me,43
10856,back in the day,43
36080,hard for me to,42
28362,finish the sentence have,40
300231,ve been able to,40
28554,first when you hear,40
43192,in front of us,39
33030,go that just want,38
11437,be able to see,38
37458,haven been able to,38
745999,you re trying to,37
328291,wanted to talk to,37
343590,was nice to see,36
32820,go back to sleep,35
387005,we were in the,35
76415,out of my head,35
