,trigram,frequency
691879,yar this be superball what,133
46569,mother cats on the supreme,133
109366,the term matching they re,112
42319,love soccer too but love,112
150494,tie using liberal definition of,112
84798,that is very sad hi,112
240800,turkeys what more do you,105
14838,criticism if not persecution but,84
5787,application and this resentment generally,84
138198,this is the first time,48
127172,they try fish sushi the,45
146657,thought of it if you,45
122818,therefore experienced sushi chef who,45
137738,this is my first post,42
25347,grab coin with year before,40
522441,will not be able to,38
45039,meant to do those things,38
20824,finish the sentence have neverâ,35
3589,and for the first time,33
54396,on and on and on,32
14783,created with the original urllink,30
39153,lead this country to greater,29
45284,mercy lord have mercy christ,28
53637,of wictory wednesday see that,28
126328,they please with compliments to,27
185491,to me this is case,27
7680,baby and dream about you,25
25323,gotten along with your parents,24
14107,computer desk made out of,24
433625,what is up with that,24
16794,do you have boyfriend girlfriend,24
50354,no so push this button,22
36079,it was one of those,22
231385,trash talking on the blog,22
313840,want to go to the,21
177907,to heal this pain is,21
8149,battalion 1st marine division marine,21
405900,well that all for now,21
102926,the passion of the christ,20
16890,do you wish you could,20
23322,geo location texas city texas,19
7843,back pages urllink http beth,19
42874,mail urllink mirm comcast net,19
93927,the face of the earth,19
375689,we re going to be,19
74025,st augustine florida judge comments,18
273576,urllink steelers urllink hawks urllink,18
198762,to start over new and,18
433663,what is wrong with me,17
2020,all of your tears when,17
38698,la la la la la,17
272774,urllink photographer blake heminger comments,17
107067,the shit out of me,17
23320,geo location foster city ca,17
49635,new york was killed on,16
107232,the side you best believe,16
55756,one thing that tried to,16
128869,thing that tried to hold,16
410222,went back to the house,16
30061,how they shine for you,15
