,trigram,frequency
321181,we went to,1277
18072,by the way,1017
200861,to talk about,860
85680,on the other,841
363123,when you re,704
26970,don know if,694
191157,to look at,590
185712,to find out,535
185561,to figure out,514
351387,what it is,469
60470,last night was,397
430805,woke up at,394
312668,we are going,370
119440,that he is,361
20324,check it out,354
88425,out in the,346
122514,that you are,333
518399,you know you,314
78867,not to mention,312
12448,back to work,286
55903,it to the,271
22885,couple of weeks,238
350261,what going on,234
106955,so we went,229
82903,of the united,226
184051,to do some,216
63533,ll be able,205
48624,im going to,199
183770,to do and,192
108172,something to do,191
202449,to the movies,190
279069,waiting for the,184
278655,wait to see,178
57942,just going to,175
48376,if you could,163
265019,ve been thinking,162
320720,we ve got,160
265243,ve decided to,151
31698,fictional any resemblence,147
122209,that we were,146
318806,we re gonna,142
59790,know what you,141
198025,to see me,140
4488,am trying to,140
7650,and then the,138
12424,back to school,136
46265,home from work,136
95185,re putting my,133
94255,putting my mother,133
71330,mother cats on,133
