"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-03-24",,,,,,"2.5","2.5",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-03-25",,,,,,"2.9","5.5",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-03-26",,,,,"0.00","0.0","2.5",,,,,,,,"0.0",,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-03-27",,,,,,"0.0","2.0",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-03-28",,,,,"0.00","0.0","1.0",,,,,,,,"0.0",,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-03-29",,,,,"0.01","0.0","0.0",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-03-30",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-03-31",,,,,"0.19","0.0","0.0",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-01",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-02",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-03",,,,,"0.01","0.0","0.0",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-04",,,,,"0.07","0.0",,,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-06",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-07",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-08",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-09",,,,,,"3.5","3.5",,,,,,,"0.2","0.2",,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-10",,,,,"0.00","0.0","0.0",,,,,,,,"0.0",,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-14",,,,,"0.01","0.0","0.0",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-15",,,,,"0.22","0.1","0.1",,,,,,,,,,,,,,,,,
"US1IAJH0022","CORALVILLE 1.3 SE, IA US","41.68066","-91.58","227.1","2018-04-16",,,,,"0.13","1.6",,,,,,,,,,,,,,,,,,
